Back to Contents;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Table 31; CPI: Detailed goods and services breakdown: Weights 2004 to 2018 1,2;;;;;;;;;;;;;;;;;;
;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017
Jan";"2017
Feb-Dec";"2018
Jan";"2018
Feb-Dec"
;A9FV; Energy & unprocessed food;899;896;886;877;877;866;862;859;848;864;869;874;886;889;887;890;889
;A9FW; Seasonal food;973;974;974;973;971;969;972;968;972;973;971;972;974;974;974;974;974
;A9FX; Energy & seasonal food;921;919;907;898;898;889;884;881;870;885;891;896;907;909;907;910;909
;A9F5; Tobacco;973;974;974;975;976;977;978;977;976;976;975;976;977;978;977;978;978
;A9FY; Alcoholic beverages & tobacco;954;954;956;957;958;956;960;958;958;956;955;957;958;959;957;959;958
;A9FZ; Liquid fuels, vehicle fuels & lubricants;973;972;963;963;960;964;957;955;951;958;963;965;967;967;966;969;968
;A9G2; Housing, water, electricity, gas & other fuels;897;895;892;885;885;874;871;871;856;863;871;872;880;883;882;867;866
;A9G3; Education, health & social protection;949;946;947;946;947;946;948;947;944;940;942;936;931;937;936;936;935
;;;;;;;;;;;;;;;;;;;
;; Key:     -  zero or negligible     ..  not available;;;;;;;;;;;;;;;;;
;;* Energy includes electricity, gas and other fuels, and fuels and lubricants;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1; For further information on the composition of the data shown,;;;;;;;;;;;;;;;;;
;; see 'The Consumer Prices Index: Goods and Services Indices;;;;;;;;;;;;;;;;;
;; and Special Aggregates', which can be downloaded from:;;;;;;;;;;;;;;;;;
;; http://www.ons.gov.uk/ons/rel/cpi/cpi-rpi-basket/consumer-prices-index--goods-and-services-indices-and-special-aggregates/index.html;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2; The coverage of this special aggregate has changed extensively since;;;;;;;;;;;;;;;;;
;; January 2000, when Social protection was first included and extensions to;;;;;;;;;;;;;;;;;
;; the Education and Health divisions also took effect. Health was further;;;;;;;;;;;;;;;;;
;; extended with effect from January 2001. Details are given in a series of;;;;;;;;;;;;;;;;;
;; Economic Trends articles available on the National Statistics website:;;;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;;;;
;;Source: ;;;;;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;;;;;
;;Prices Division;;;;;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;;;;;
