Back to Contents;;;;;;;;;;;;;;;
;;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
;;1965;0,3;-;0,4;1,9;0,4;0,3;-;0,2;0,1;0,1;0,4;0,4;
;;1966;0,2;0,1;0,2;1,2;0,7;0,3;-0,4;0,6;-0,2;0,3;0,6;0,2;
;;1967;0,2;0,1;-;0,8;-0,1;0,4;-0,6;-0,3;-0,1;0,8;0,6;0,7;
;;1968;0,3;0,5;0,3;1,8;0,1;0,4;0,1;0,2;0,1;0,5;0,2;1,3;
;;1969;0,5;0,5;0,4;1,1;-0,2;0,5;-;-0,2;0,3;0,8;0,2;0,7;
;;1970;0,8;0,5;0,6;1,5;0,3;0,3;0,7;-0,1;0,5;1,1;0,7;0,7;
;;1971;1,4;0,5;0,8;2,1;0,7;0,7;0,6;0,1;0,1;0,6;0,6;0,5;
;;1972;0,6;0,5;0,3;0,9;0,5;0,7;0,3;0,8;0,5;1,4;0,4;0,5;
;;1973;0,6;0,6;0,6;1,9;0,7;0,5;0,4;0,3;0,9;2,0;0,8;0,7;
;;1974;1,9;1,7;0,9;3,4;1,4;1,0;0,9;0,1;1,1;2,0;1,8;1,5;
;;1975;2,6;1,7;2,0;3,9;4,2;1,9;1,0;0,6;0,9;1,4;1,2;1,2;
;;1976;1,3;1,3;0,5;1,9;1,1;0,5;0,2;1,4;1,3;1,8;1,4;1,3;
;;1977;2,6;1,0;1,0;2,6;0,8;1,0;0,1;0,5;0,5;0,4;0,5;0,5;
;;1978;0,6;0,6;0,6;1,5;0,6;0,8;0,5;0,7;0,4;0,4;0,7;0,8;
;;1979;1,5;0,8;0,8;1,7;0,8;1,7;4,3;0,8;1,0;1,0;0,9;0,7;
;;1980;2,5;1,4;1,4;3,4;0,9;0,9;0,8;0,2;0,6;0,6;0,8;0,5;
;;1981;0,6;0,9;1,5;2,9;0,7;0,6;0,4;0,7;0,6;0,9;1,1;0,6;
;;1982;0,6;-;0,9;2,0;0,7;0,3;-;-;-0,1;0,5;0,5;-0,2;
;;1983;0,1;0,4;0,2;1,4;0,4;0,2;0,5;0,4;0,4;0,4;0,4;0,3;
;;1984;-0,1;0,4;0,3;1,3;0,4;0,3;-0,1;0,9;0,2;0,6;0,3;-0,1;
;;1985;0,4;0,8;0,9;2,1;0,5;0,2;-0,2;0,3;-0,1;0,2;0,3;0,1;
;;1986;0,2;0,4;0,1;1,0;0,2;-0,1;-0,3;0,3;0,5;0,2;0,8;0,3;
;;1987;0,4;0,4;0,2;1,2;0,1;-;-0,1;0,3;0,3;0,5;0,5;-0,1;
;;1988;-;0,4;0,4;1,6;0,4;0,4;0,1;1,1;0,5;1,0;0,5;0,3;
;;1989;0,6;0,7;0,4;1,8;0,6;0,3;0,1;0,3;0,7;0,8;0,9;0,3;
;;1990;0,6;0,6;1,0;3,0;0,9;0,4;0,1;1,0;0,9;0,8;-0,2;-0,1;
;;1991;0,2;0,5;0,4;1,3;0,3;0,4;-0,2;0,2;0,4;0,4;0,4;0,1;
;;1992;-0,1;0,5;0,3;1,5;0,4;-;-0,4;0,1;0,4;0,4;-0,1;-0,4;
;;1993;-0,9;0,7;0,4;0,9;0,4;-0,1;-0,2;0,4;0,4;-0,1;-0,1;0,2;
;;1994;-0,4;0,6;0,3;1,2;0,3;-;-0,5;0,5;0,2;0,1;0,1;0,5;
;;1995;-;0,6;0,4;1,0;0,4;0,1;-0,5;0,5;0,5;-0,5;-;0,6;
;;1996;-0,3;0,5;0,4;0,7;0,2;0,1;-0,4;0,5;0,5;-;0,1;0,3;
;;1997;-;0,4;0,3;0,6;0,4;0,4;-;0,6;0,5;0,1;0,1;0,3;
;;1998;-0,3;0,5;0,3;1,1;0,6;-0,1;-0,2;0,4;0,4;0,1;-0,1;-;
;;1999;-0,6;0,2;0,2;0,7;0,2;-;-0,3;0,2;0,4;0,2;0,1;0,4;
;;2000;-0,4;0,5;0,5;1,0;0,4;0,2;-0,4;-;0,7;-0,1;0,3;0,1;
;;2001;-0,6;0,5;0,1;0,5;0,6;0,1;-0,6;0,4;0,3;-0,2;-0,4;-0,1;
;;2002;-0,1;0,3;0,4;0,7;0,3;-;-0,2;0,3;0,7;0,2;0,2;0,2;
;;2003;-0,1;0,5;0,3;0,7;0,2;-0,1;-;0,2;0,5;0,1;0,1;0,4;
;;2004;-0,2;0,4;0,4;0,6;0,4;0,2;-;0,3;0,4;0,3;0,2;0,5;
;;2005;-0,5;0,4;0,5;0,6;0,2;0,1;-;0,2;0,3;0,1;0,2;0,3;
;;2006;-0,4;0,4;0,4;0,8;0,6;0,4;-;0,4;0,5;0,1;0,3;0,8;
;;2007;-0,5;0,7;0,6;0,5;0,4;0,5;-0,6;0,6;0,3;0,4;0,4;0,6;
;;2008;-0,5;0,8;0,3;0,9;0,5;0,8;-0,1;0,3;0,6;-0,3;-0,8;-1,4;
;;2009;-1,3;0,6;-;0,1;0,6;0,3;-;0,5;0,4;0,3;0,3;0,6;
;;2010;-;0,6;0,7;1,0;0,4;0,2;-0,2;0,4;0,4;0,2;0,4;0,7;
;;2011;0,3;1,0;0,5;0,8;0,3;-;-0,2;0,6;0,8;-;0,2;0,4;
;;2012;-0,6;0,8;0,4;0,7;-;-0,2;0,1;0,4;0,5;0,6;-;0,5;
;;2013;-0,4;0,7;0,4;0,3;0,2;-0,1;-;0,5;0,4;-;0,1;0,5;
;;2014;-0,3;0,6;0,2;0,4;0,1;0,2;-0,1;0,4;0,2;-;-0,2;0,2;
;;2015;-0,8;0,5;0,2;0,4;0,2;0,2;-0,1;0,5;-0,1;-;0,1;0,3;
;;2016;-0,7;0,5;0,4;0,1;0,3;0,4;0,1;0,4;0,2;-;0,3;0,6;
;;2017;-0,6;1,1;0,3;0,5;0,4;0,2;0,2;0,7;0,1;0,1;0,2;0,8;
;;2018;-0,8;0,8;0,1;0,5;0,4;0,3;0,1;0,9;..;..;..;..;
;;;;;;;;;;;;;;;
;; Key:     - zero or negligible      ..   not available;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;1;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;;;
;;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;;;
;;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Source: ;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;
;;Prices Division;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;
