Back to Contents;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
;1963;54,0;53,5;54,0;54,1;54,2;54,2;54,2;53,9;53,7;53,9;54,1;54,2;54,3
;1964;55,8;54,6;54,6;54,8;55,3;55,8;56,0;56,0;56,2;56,2;56,3;56,7;56,9
;1965;58,4;57,1;57,1;57,3;58,4;58,6;58,8;58,8;58,9;58,9;59,0;59,2;59,5
;1966;60,7;59,6;59,6;59,7;60,5;60,9;61,1;60,8;61,2;61,1;61,2;61,6;61,7
;1967;62,3;61,8;61,8;61,8;62,3;62,3;62,5;62,1;62,0;61,9;62,4;62,8;63,2
;1968;65,2;63,4;63,7;63,9;65,1;65,1;65,4;65,4;65,5;65,6;65,9;66,1;66,9
;1969;68,7;67,3;67,7;67,9;68,7;68,6;68,9;68,9;68,7;68,9;69,4;69,6;70,1
;1970;73,1;70,6;71,0;71,4;72,5;72,7;72,9;73,5;73,4;73,8;74,6;75,1;75,6
;1971;80,0;76,6;77,1;77,7;79,4;79,9;80,4;80,9;81,0;81,1;81,5;82,0;82,4
;1972;85,7;82,9;83,3;83,6;84,4;84,8;85,3;85,6;86,3;86,8;88,0;88,3;88,7
;1973;93,5;89,3;89,9;90,4;92,1;92,8;93,3;93,7;94,0;94,8;96,7;97,4;98,1
;1974;108,5;100,0;101,7;102,6;106,1;107,6;108,7;109,7;109,8;111,0;113,2;115,2;116,9
;1975;134,8;119,9;121,9;124,3;129,1;134,5;137,1;138,5;139,3;140,5;142,5;144,2;146,0
;1976;157,1;147,9;149,8;150,6;153,5;155,2;156,0;156,3;158,5;160,6;163,5;165,8;168,0
;1977;182,0;172,4;174,1;175,8;180,3;181,7;183,6;183,8;184,7;185,7;186,5;187,4;188,4
;1978;197,1;189,5;190,6;191,8;194,6;195,7;197,2;198,1;199,4;200,2;201,1;202,5;204,2
;1979;223,5;207,2;208,9;210,6;214,2;215,9;219,6;229,1;230,9;233,2;235,6;237,7;239,4
;1980;263,7;245,3;248,8;252,2;260,8;263,2;265,7;267,9;268,5;270,2;271,9;274,1;275,6
;1981;295,0;277,3;279,8;284,0;292,2;294,1;295,8;297,1;299,3;301,0;303,7;306,9;308,8
;1982;320,4;310,6;310,7;313,4;319,7;322,0;322,9;323,0;323,1;322,9;324,5;326,1;325,5
;1983;335,1;325,9;327,3;327,9;332,5;333,9;334,7;336,5;338,0;339,5;340,7;341,9;342,8
;1984;351,8;342,6;344,0;345,1;349,7;351,0;351,9;351,5;354,8;355,5;357,7;358,8;358,5
;1985;373,2;359,8;362,7;366,1;373,9;375,6;376,4;375,7;376,7;376,5;377,1;378,4;378,9
;1986;385,9;379,7;381,1;381,6;385,3;386,0;385,8;384,7;385,9;387,8;388,4;391,7;393,0
;1987;402,0;394,5;396,1;396,9;401,6;402,0;402,0;401,6;402,8;404,0;405,9;407,9;407,5
;1988;421,7;407,5;409,1;410,7;417,4;419,0;420,5;420,9;425,7;427,6;432,0;434,0;435,1
;1989;454,5;437,9;441,1;443,0;450,9;453,7;455,3;455,6;456,8;460,0;463,5;467,5;468,7
;1990;497,5;471,4;474,2;478,9;493,5;497,9;499,8;500,2;505,4;510,1;514,0;512,9;512,5
;1991;526,7;513,6;516,4;518,4;525,1;526,7;529,0;527,8;529,0;531,0;533,0;534,9;535,3
;1992;546,4;534,9;537,7;539,3;547,6;549,5;549,5;547,6;548,0;549,9;551,9;551,1;549,1
;1993;555,1;544,0;547,6;549,5;554,7;556,6;556,2;555,1;557,4;559,8;559,4;558,6;559,8
;1994;568,5;557,4;560,6;562,2;568,9;570,8;570,8;568,1;570,8;572,0;572,8;573,2;576,0
;1995;588,2;576,0;579,5;581,9;587,8;590,2;591,0;588,2;591,4;594,1;591,0;591,0;594,5
;1996;602,4;592,5;595,3;597,7;602,0;603,2;603,6;601,2;604,0;606,7;606,7;607,1;609,1
;1997;621,3;609,1;611,5;613,1;616,6;619,0;621,3;621,3;625,3;628,4;629,2;629,6;631,2
;1998;642,6;629,2;632,4;634,4;641,5;645,0;644,6;643,0;645,8;648,6;649,0;648,6;648,6
;1999;652,5;644,6;645,8;647,4;651,7;653,3;653,3;651,3;652,9;655,7;656,8;657,6;660,0
;2000;671,8;657,2;660,8;664,3;671,0;673,4;675,0;672,6;672,6;677,4;677,0;678,9;679,3
;2001;683,7;675,0;678,5;679,3;682,9;687,2;688,0;683,7;686,4;688,8;687,6;684,9;684,1
;2002;695,1;683,7;685,6;688,4;693,1;695,1;695,1;693,9;695,9;700,6;701,8;703,0;704,2
;2003;715,2;703,8;707,3;709,7;714,8;716,0;715,2;715,2;716,4;720,0;720,4;720,8;723,9
;2004;736,5;722,3;725,1;728,2;732,6;735,7;736,9;736,9;739,3;742,1;744,0;745,6;749,2
;2005;757,3;745,2;748,0;751,5;755,9;757,4;758,2;758,2;759,8;761,8;762,6;763,8;765,7
;2006;781,5;763,0;766,1;769,3;775,2;779,9;783,1;783,1;785,8;789,4;790,6;793,3;799,7
;2007;815,0;795,3;801,2;806,4;810,3;813,5;817,8;813,1;817,8;820,6;824,1;827,3;832,0
;2008;847,5;827,7;834,0;836,7;844,2;848,6;855,3;854,1;856,9;861,6;858,8;852,1;839,9
;2009;843,0;828,8;834,0;833,6;834,4;839,5;841,9;841,9;845,8;849,4;852,1;854,5;860,0
;2010;881,9;859,6;864,7;870,7;878,9;882,1;884,1;882,1;885,7;888,8;890,8;894,7;901,0
;2011;927,8;903,4;912,5;917,2;924,7;927,9;927,9;925,9;931,4;938,5;938,9;940,9;944,4
;2012;957,6;938,9;946,4;950,0;956,7;956,3;953,9;955,1;958,6;963,4;968,9;968,9;973,6
;2013;986,7;969,7;976,8;981,1;984,3;986,3;985,1;985,1;990,2;993,7;993,7;994,5;999,7
;2014;1010,0;996,5;1002,8;1005,2;1008,7;1009,5;1011,1;1009,9;1013,9;1016,2;1016,6;1014,3;1015,8
;2015;1020,0;1007,6;1012,7;1014,3;1017,8;1019,8;1021,4;1020,2;1024,9;1024,1;1023,7;1024,9;1028,1
;2016;1037,7;1021,0;1025,7;1030,0;1031,2;1034,0;1037,9;1039,1;1043,1;1045,0;1044,6;1047,4;1053,7
;2017;1074,9;1047,4;1058,8;1062,4;1067,5;1071,9;1074,2;1076,6;1083,7;1085,3;1086,1;1088,0;1097,1
;2018;..;1088,8;1097,1;1097,9;1103,4;1107,4;1110,5;1111,3;1121,2;..;..;..;..
;;;;;;;;;;;;;;
; Key:     - zero or negligible      ..   not available;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1; The percentage change in prices between any two months is;;;;;;;;;;;;;
; calculated by the following formula:;;;;;;;;;;;;;
; ((later date index minus earlier date index) divided by earlier date index) times 100;;;;;;;;;;;;;
; eg: (401.6 [July 1987] - 384.7 [July 1986]) / 384.7 [July 1986] X 100 = 4.4%;;;;;;;;;;;;;
;;;;;;;;;;;;;;
2; The purchasing power of a sum of money in year X compared with;;;;;;;;;;;;;
; year Y is calculated using the following formulae:;;;;;;;;;;;;;
; The sum of money times (later date index divided by earlier date index);;;;;;;;;;;;;
; eg: £20 X (736.9 [June 2004]) / 215.9 [May 1979] = £68.26;;;;;;;;;;;;;
; or for the purchasing power in the past:;;;;;;;;;;;;;
; The sum of money times (earlier date index divided by later date index);;;;;;;;;;;;;
; eg: £10 X (497.9 [May 1990]) / 749.2 [December 2004] = £6.65;;;;;;;;;;;;;
;;;;;;;;;;;;;;
3;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;;;
;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;;;
;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Source: ;;;;;;;;;;;;;
;Office for National Statistics;;;;;;;;;;;;;
;Prices Division;;;;;;;;;;;;;
;2.001 Cardiff Road;;;;;;;;;;;;;
;Newport;;;;;;;;;;;;;
;South Wales;;;;;;;;;;;;;
;NP10 8XG;;;;;;;;;;;;;
;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;;;;;
