Back to Contents;;;;;;;;;;
;;;;;;;;;;
Table 26;Contributions 1 to changes in All Items CPI;;;;;;;;;
; percentage points; Contribution to;;;;;;;;
;; Monthly change in; All items; All items; Change in latest;;;;;
;; all items index between; percentage change; percentage change; 12-month rate between;;;;;
;;Jul 2018 and; over 12 months; over 12 months;Jul 2018 and;;;;;
;;Aug 2018; to Jul 2018; to Aug 2018;Aug 20182;;;;;
;; ;;; ;;;;;
 ; CPI ALL ITEMS;0,7;2,5;2,7;0,2;;;;;
 ; of which:;;;;;;;;;
 ; Food and non-alcoholic beverages;0,02;0,23;0,25;0,02;;;;;
 ; Alcoholic beverages and tobacco;0,03;0,15;0,17;0,02;;;;;
 ; Clothing and footwear;0,21;-0,01;0,03;0,04;;;;;
 ; Housing, water, electricity, gas and other fuels;0,01;0,29;0,29; -;;;;;
 ; Furniture, household equipment and maintenance;0,07;0,08;0,04;-0,03;;;;;
 ; Health;0,01;0,06;0,06;0,01;;;;;
 ; Transport;0,22;0,91;0,97;0,06;;;;;
 ; Communication;0,01;0,04;0,01;-0,03;;;;;
 ; Recreation and culture;0,09;0,46;0,53;0,07;;;;;
 ; Education; -;0,06;0,06; -;;;;;
 ; Restaurants and hotels;0,01;0,30;0,31;0,01;;;;;
 ; Miscellaneous goods and services;0,05;-0,10;-0,07;0,03;;;;;
 ; Rounding effects 3;-0,03;0,03;0,05; -;;;;;
;;;;;;;;;;
; Key:    -  zero or negligible;;;;;;;;;
; ;;;;;;;;;
1; The contribution of a component to a change in the index is defined as the;;;;;;;;;
; movement in the index that would have occurred if all the other component;;;;;;;;;
; indices had remained unchanged.;;;;;;;;;
; ;;;;;;;;;
2; Column 4 = column 3 less column 2.;;;;;;;;;
; ;;;;;;;;;
3; The individual contributions of components to movements in the CPI shown;;;;;;;;;
; in this table are derived with maximum precision at every stage of the;;;;;;;;;
; calculation and, in order to provide meaningful analysis, are given to two;;;;;;;;;
; decimal places. However, each month, the CPI is given as a unique official;;;;;;;;;
; figure which, while also subject to maximum precision, is rounded to the;;;;;;;;;
; nearest single decimal place. Percentage changes in the monthly CPI are;;;;;;;;;
; derived from the official rounded index and they, in turn, are also;;;;;;;;;
; published to just one decimal place. Inevitably, there will be differences;;;;;;;;;
; between the rounded percentage changes derived from the official index and;;;;;;;;;
; the sum of the individual contributions.;;;;;;;;;
;;;;;;;;;;
;Source: ;;;;;;;;;
;Office for National Statistics;;;;;;;;;
;Prices Division;;;;;;;;;
;2.001 Cardiff Road;;;;;;;;;
;Newport;;;;;;;;;
;South Wales;;;;;;;;;
;NP10 8XG;;;;;;;;;
;Tel: +44 (0) 1633 456900;;;;;;;;;
;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;
