Back to Contents;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 32; Consumer Prices Index - Constant Taxes (CPI-CT)1;;;;;;;;;;;;;;;
;; ; ; ; ;; Percentage change;;;;; Percentage change;;;;
;; Index (2015=100);;;;; over 12 months;;;;; over 1 month;;;;
;; ;;;;; ;;;;; ;;;;
;; All Items; Goods; Services; Energy;; All Items; Goods; Services; Energy;; All Items; Goods; Services; Energy;
;;;;;;;;;;;;;;;;
;; EAC7; EAC8; EAC9; EAD4;; EAD6; EAD7; EAD8; EAE3;; EAE5; EAE6; EAE7; EAF2;
;Jul ;105,3;102,8;108,2;111,7;;2,4;2,5;2,2;9,3;; -;-0,6;0,5;0,4;
;Aug 2018;106,1;103,6;109,0;112,2;;2,6;2,6;2,5;8,9;;0,7;0,8;0,7;0,5;
;;;;;;;;;;;;;;;;
;; Key:    - zero or negligible  .. not available (nec) not elsewhere covered;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;1;For the release of January consumer price inflation data on 16 February 2016, CPIH and CPI indices have been re-referenced and published with 2015=100.;;;;;;;;;;;;;;
;;Full historic series for each of the re-referenced indices are now available for users to view or download.;;;;;;;;;;;;;;
;;Regular re-referencing of indices is methodological good practice as it avoids rounding issues that can arise from small index values. ;;;;;;;;;;;;;;
;;Please note that re-referencing does not impact on published inflation rates, although when using the indices to calculate inflation rates, ;;;;;;;;;;;;;;
;;it is important to use indices that are calculated in the same reference year. Re-referencing does not impact on RPI.;;;;;;;;;;;;;;
;;For more information, please contact cpi@ons.gsi.gov.uk.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Source: ; ;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;;
;;Prices Division;;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;;
