Back to Contents;;;;;;;;;;;;;;;
;;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
;;1978;8,3;9,9;9,5;9,1;7,9;7,7;7,4;7,8;8,0;7,8;7,8;8,1;8,4
;;1979;13,4;9,3;9,6;9,8;10,1;10,3;11,4;15,6;15,8;16,5;17,2;17,4;17,2
;;1980;18,0;18,4;19,1;19,8;21,8;21,9;21,0;16,9;16,3;15,9;15,4;15,3;15,1
;;1981;11,9;13,0;12,5;12,6;12,0;11,7;11,3;10,9;11,5;11,4;11,7;12,0;12,0
;;1982;8,6;12,0;11,0;10,4;9,4;9,5;9,2;8,7;8,0;7,3;6,8;6,3;5,4
;;1983;4,6;4,9;5,3;4,6;4,0;3,7;3,7;4,2;4,6;5,1;5,0;4,8;5,3
;;1984;5,0;5,1;5,1;5,2;5,2;5,1;5,1;4,5;5,0;4,7;5,0;4,9;4,6
;;1985;6,1;5,0;5,4;6,1;6,9;7,0;7,0;6,9;6,2;5,9;5,4;5,5;5,7
;;1986;3,4;5,5;5,1;4,2;3,0;2,8;2,5;2,4;2,4;3,0;3,0;3,5;3,7
;;1987;4,2;3,9;3,9;4,0;4,2;4,1;4,2;4,4;4,4;4,2;4,5;4,1;3,7
;;1988;4,9;3,3;3,3;3,5;3,9;4,2;4,6;4,8;5,7;5,9;6,4;6,4;6,8
;;1989;7,8;7,5;7,8;7,9;8,0;8,3;8,3;8,2;7,3;7,6;7,3;7,7;7,7
;;1990;9,5;7,7;7,5;8,1;9,4;9,7;9,8;9,8;10,6;10,9;10,9;9,7;9,3
;;1991;5,9;9,0;8,9;8,2;6,4;5,8;5,8;5,5;4,7;4,1;3,7;4,3;4,5
;;1992;3,7;4,1;4,1;4,0;4,3;4,3;3,9;3,7;3,6;3,6;3,6;3,0;2,6
;;1993;1,6;1,7;1,8;1,9;1,3;1,3;1,2;1,4;1,7;1,8;1,4;1,4;1,9
;;1994;2,4;2,5;2,4;2,3;2,6;2,6;2,6;2,3;2,4;2,2;2,4;2,6;2,9
;;1995;3,5;3,3;3,4;3,5;3,3;3,4;3,5;3,5;3,6;3,9;3,2;3,1;3,2
;;1996;2,4;2,9;2,7;2,7;2,4;2,2;2,1;2,2;2,1;2,1;2,7;2,7;2,5
;;1997;3,1;2,8;2,7;2,6;2,4;2,6;2,9;3,3;3,5;3,6;3,7;3,7;3,6
;;1998;3,4;3,3;3,4;3,5;4,0;4,2;3,7;3,5;3,3;3,2;3,1;3,0;2,8
;;1999;1,5;2,4;2,1;2,1;1,6;1,3;1,3;1,3;1,1;1,1;1,2;1,4;1,8
;;2000;3,0;2,0;2,3;2,6;3,0;3,1;3,3;3,3;3,0;3,3;3,1;3,2;2,9
;;2001;1,8;2,7;2,7;2,3;1,8;2,1;1,9;1,6;2,1;1,7;1,6;0,9;0,7
;;2002;1,7;1,3;1,0;1,3;1,5;1,1;1,0;1,5;1,4;1,7;2,1;2,6;2,9
;;2003;2,9;2,9;3,2;3,1;3,1;3,0;2,9;3,1;2,9;2,8;2,6;2,5;2,8
;;2004;3,0;2,6;2,5;2,6;2,5;2,8;3,0;3,0;3,2;3,1;3,3;3,4;3,5
;;2005;2,8;3,2;3,2;3,2;3,2;2,9;2,9;2,9;2,8;2,7;2,5;2,4;2,2
;;2006;3,2;2,4;2,4;2,4;2,6;3,0;3,3;3,3;3,4;3,6;3,7;3,9;4,4
;;2007;4,3;4,2;4,6;4,8;4,5;4,3;4,4;3,8;4,1;3,9;4,2;4,3;4,0
;;2008;4,0;4,1;4,1;3,8;4,2;4,3;4,6;5,0;4,8;5,0;4,2;3,0;0,9
;;2009;-0,5;0,1; -;-0,4;-1,2;-1,1;-1,6;-1,4;-1,3;-1,4;-0,8;0,3;2,4
;;2010;4,6;3,7;3,7;4,4;5,3;5,1;5,0;4,8;4,7;4,6;4,5;4,7;4,8
;;2011;5,2;5,1;5,5;5,3;5,2;5,2;5,0;5,0;5,2;5,6;5,4;5,2;4,8
;;2012;3,2;3,9;3,7;3,6;3,5;3,1;2,8;3,2;2,9;2,6;3,2;3,0;3,1
;;2013;3,0;3,3;3,2;3,3;2,9;3,1;3,3;3,1;3,3;3,2;2,6;2,6;2,7
;;2014;2,4;2,8;2,7;2,5;2,5;2,4;2,6;2,5;2,4;2,3;2,3;2,0;1,6
;;2015;1,0;1,1;1,0;0,9;0,9;1,0;1,0;1,0;1,1;0,8;0,7;1,1;1,2
;;2016;1,8;1,3;1,3;1,6;1,3;1,4;1,6;1,9;1,8;2,0;2,0;2,2;2,5
;;2017;3,6;2,6;3,2;3,1;3,5;3,7;3,5;3,6;3,9;3,9;4,0;3,9;4,1
;;2018;..;4,0;3,6;3,3;3,4;3,3;3,4;3,2;3,5;..;..;..;..
;;;;;;;;;;;;;;;
;; Key:     -  zero or negligible    ..   not available;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;1;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;;;
;;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;;;
;;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Source: ;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;
;;Prices Division;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;
