Back to Contents;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Table 19; CPI: Detailed figures by division 1,2;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;; ; ; ;Housing,;Furniture,; ; ; ; ; ; ;Miscell-; ;
;;Food and;Alcoholic; ;water,;household; ; ; ; ; ; ;aneous; ;
;;non-;beverages;Clothing;electricity,;equipment; ; ; ;Recreation; ;;goods; CPI;
;;alcoholic;and;and;gas &;& routine; ; ;Communic-;and; ;Restaurants;and; (overall;
;;beverages;tobacco;footwear;other fuels;maintenance;Health 3;Transport;ation;culture;Education 3;and hotels;services 3; index);
;;;;;;;;;;;;;;;
 COICOP Division; ;1;2;3;4;5;6;7;8;9;10;11;12;;
;;;;;;;;;;;;;;;
;; CHZR; CHZS; CHZT; CHZU; CHZV; CHZW; CHZX; CHZY; CHZZ; CJUU; CJUV; CJUW; CHZQ;
;;;;;;;;;;;;;;;
 Weights;"2018 
Feb-Dec";101;42;70;134;61;25;156;24;150;22;121;94;1000;
;;;;;;;;;;;;;;;
 Monthly indices (2015=100);;;;;;;;;;;;;;;
;; D7BU; D7BV; D7BW; D7BX; D7BY; D7BZ; D7C2; D7C3; D7C4; D7C5; D7C6; D7C7; D7BT;
;Aug 2016;97,3;102,1;97,0;100,2;99,3;102,7;103,5;103,6;100,4;103,4;102,6;101,1;100,9;
;Sep ;97,3;102,5;102,0;100,3;99,7;103,0;101,1;103,5;100,5;105,7;103,4;101,6;101,1;
;Oct ;96,8;102,4;102,3;100,5;100,2;102,0;101,1;103,7;100,8;107,9;103,3;101,6;101,2;
;Nov ;97,2;101,8;103,7;100,5;100,8;102,1;100,7;103,8;101,2;107,9;103,5;101,8;101,4;
;Dec ;97,9;101,3;102,7;100,7;101,7;102,2;103,7;103,2;101,2;107,9;103,5;101,5;101,9;
;Jan ;98,1;103,6;98,3;100,8;99,1;103,1;103,0;103,1;100,4;107,9;103,4;101,6;101,4;
;Feb ;98,9;103,5;99,5;100,9;101,5;103,5;104,2;104,1;100,9;107,9;104,2;101,9;102,1;
;Mar ;99,3;105,2;101,6;101,0;102,2;103,5;103,7;104,2;101,3;107,9;104,4;102,6;102,5;
;Apr;99,5;105,6;102,7;101,4;101,2;104,6;105,3;103,3;101,5;107,9;105,0;102,5;102,9;
;May ;99,6;106,5;103,2;102,0;102,4;104,9;104,6;103,9;102,5;107,9;105,6;102,6;103,3;
;Jun ;99,4;106,3;102,1;102,0;102,8;105,0;104,6;104,6;102,3;107,9;105,9;102,7;103,3;
;Jul ;99,4;106,6;99,1;102,3;101,7;105,4;105,7;104,2;102,1;107,9;106,2;102,7;103,2;
;Aug 2017;99,4;106,7;101,5;102,4;103,5;105,4;106,8;105,9;102,3;107,9;106,3;103,0;103,8;
;Sep;100,2;106,9;105,4;102,4;103,7;105,4;105,3;105,6;103,0;108,8;106,6;103,0;104,1;
;Oct ;100,6;106,8;105,5;102,8;103,3;105,4;105,2;105,4;103,6;110,9;106,5;102,5;104,2;
;Nov;101,1;106,4;106,8;102,9;103,6;105,5;105,3;105,7;104,3;110,9;106,8;102,4;104,6;
;Dec;101,8;107,0;105,8;103,0;105,0;105,6;107,6;104,3;103,9;110,9;106,7;102,3;104,9;
;Jan ;101,7;109,4;101,7;103,1;102,2;106,2;106,5;104,4;103,7;110,9;106,6;102,4;104,4;
;Feb ;101,9;109,4;103,4;103,1;104,9;106,3;107,1;103,8;104,0;110,9;106,7;102,7;104,9;
;Mar ;102,3;108,9;104,1;103,2;104,8;106,4;106,8;103,9;104,6;110,9;107,1;102,5;105,0;
;Apr ;102,1;109,8;104,5;103,5;103,9;107,5;107,9;104,3;105,0;110,9;107,9;102,5;105,4;
;May ;101,9;110,8;104,7;103,5;104,6;107,4;109,5;104,6;105,2;110,9;108,3;102,6;105,8;
;Jun;101,4;110,6;102,5;104,2;104,9;107,6;110,4;105,3;104,7;110,9;108,6;102,5;105,8;
;Jul ;101,7;110,3;98,7;104,6;103,0;107,7;111,8;105,9;105,3;110,9;108,8;101,7;105,8;
;Aug 2018;101,9;111,1;101,8;104,7;104,2;108,0;113,3;106,3;105,9;110,9;108,9;102,3;106,5;
;;;;;;;;;;;;;;;
  Percentage change on a year earlier;;;;;;;;;;;;;;;
;; D7G8; D7G9; D7GA; D7GB; D7GC; D7GD; D7GE; D7GF; D7GG; D7GH; D7GI; D7GJ; D7G7;
;Aug 2016;-2,2;1,4;-1,2;-0,1;-1,0;2,0;1,0;4,1;0,7;4,8;2,3;0,8;0,6;
;Sep ;-2,3;1,7;1,0;0,2;-1,4;2,2;1,2;3,6;0,8;5,9;2,9;1,3;1,0;
;Oct ;-2,4;2,1;-0,7;0,3;0,1;2,0;2,3;3,1;0,2;4,3;2,6;1,1;0,9;
;Nov ;-2,0;1,7;0,9;0,2;0,8;2,3;2,5;2,6;0,7;4,3;2,6;1,1;1,2;
;Dec ;-1,1;2,4;1,2;0,4;0,6;2,4;3,7;1,7;0,9;4,3;2,8;1,0;1,6;
;Jan ;-0,5;2,4; -;0,6;0,5;2,0;5,7;2,1;0,9;4,3;3,0;0,8;1,8;
;Feb ;0,2;2,8;-0,1;0,7;1,1;2,3;6,9;2,2;1,6;4,3;3,2;1,1;2,3;
;Mar ;1,2;4,9;0,9;1,1;1,1;2,2;4,7;2,8;1,6;4,3;2,9;1,8;2,3;
;Apr;1,5;4,4;2,4;1,6;1,7;2,3;6,4;1,7;1,0;4,3;3,1;1,7;2,7;
;May ;2,1;4,9;3,1;2,1;2,4;2,4;4,7;1,4;2,3;4,3;3,1;1,7;2,9;
;Jun ;2,3;5,1;2,7;2,0;3,2;2,4;3,7;1,5;1,5;4,3;3,3;1,7;2,6;
;Jul;2,6;5,1;3,2;2,2;3,8;2,7;3,1;0,8;1,4;4,3;3,1;1,9;2,6;
;Aug 2017;2,1;4,5;4,6;2,2;4,2;2,6;3,2;2,2;1,8;4,3;3,5;1,9;2,9;
