Back to Contents;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 28; CPI: Detailed goods and services breakdown: latest 13 months 1,2 ;;;;;;;;;;;;;;;
;Percentage change over 12 months;;;;;;;;;;;;;;;
;;; Annual change;;;;;;;;;;;;;
;;;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
;D7G7; CPI (overall index);2,7;2,9;3,0;3,0;3,1;3,0;3,0;2,7;2,5;2,4;2,4;2,4;2,5;2,7
;;;;;;;;;;;;;;;;
;D7NM; All goods;2,7;3,1;3,2;3,3;3,3;3,4;3,2;3,0;2,4;2,6;2,5;2,6;2,6;2,8
;DKK8; Food, alcoholic beverages & tobacco;2,8;2,8;3,4;4,1;4,2;4,4;4,2;3,8;3,2;3,0;2,8;2,6;2,6;2,9
;DKK9; Processed food & non-alcoholic beverages;1,8;1,7;2,8;3,4;3,7;3,8;3,1;2,9;3,4;3,3;2,3;2,4;2,7;2,6
;DKL2; Non-processed food;2,7;2,7;3,2;4,7;4,5;4,1;4,4;3,0;2,7;1,9;2,3;1,5;1,8;2,3
;DKL3; Seasonal food;3,4;3,5;3,2;5,4;5,1;4,1;5,5;3,3;2,3;1,7;2,7;2,1;1,9;2,9
;D7HI; Meat;1,8;1,7;3,2;3,9;3,8;4,2;3,0;2,6;3,2;2,1;1,7;0,8;1,5;1,4
;D7G9; Alcoholic beverages & tobacco;4,4;4,5;4,3;4,3;4,5;5,6;5,6;5,8;3,5;4,0;4,0;4,1;3,5;4,1
;;;;;;;;;;;;;;;;
;DKL4; Industrial goods;2,6;3,2;3,1;3,0;3,0;3,0;2,8;2,6;2,1;2,5;2,4;2,5;2,6;2,7
;DKL5; *Energy;6,0;5,3;5,8;4,8;5,0;5,5;4,3;3,6;3,3;4,4;5,7;8,7;9,3;8,9
;DKL6; Electricity, gas & miscellaneous energy;3,0;4,7;4,7;6,0;6,0;6,0;6,3;6,2;5,7;5,3;2,9;5,2;5,8;5,8
;DKO6; Liquid fuels, vehicle fuels & lubricants;8,7;5,6;6,5;3,4;4,0;5,0;2,4;1,1;0,9;3,6;8,8;12,3;13,0;12,2
;DKK3; Non-energy industrial goods;1,9;2,8;2,5;2,6;2,5;2,5;2,5;2,4;1,9;2,1;1,7;1,3;1,2;1,4
;DKL8; Clothing & footwear goods;2,5;4,7;3,3;3,2;3,0;3,1;3,5;3,9;2,5;1,7;1,5;0,3;-0,4;0,3
;DKL9; Housing goods;2,4;4,1;3,9;2,9;2,7;3,1;3,0;3,2;2,4;2,6;2,1;1,9;1,2;0,6
;DKM2; Household goods;2,6;4,5;4,3;3,2;2,8;3,3;3,2;3,5;2,5;2,7;2,1;1,8;1,0;0,4
;DKM3;" Water supply; materials for maintenance & repair";0,8;0,5;0,8;1,0;1,2;0,9;0,9;1,1;1,2;2,1;2,0;2,3;2,0;2,2
;DKM4; Medical products, appliances & equipment;1,5;1,6;1,1;1,9;1,8;1,6;2,1;1,6;1,6;1,8;1,1;1,1;0,9;1,5
;DKM5; Vehicles, spare parts & accessories;1,5;1,7;1,9;2,5;2,8;2,8;2,2;1,7;2,5;2,9;3,5;4,2;3,7;3,8
;DKM6; Recreational goods;1,9;1,7;2,6;3,1;3,2;2,4;2,7;2,1;2,1;2,9;1,6;0,7;2,1;2,2
;DKM7; Audio-visual goods;1,2;3,8;2,1;1,3;0,1;-1,2;-0,7;-2,7;-1,8;-1,8;-2,5;-3,4;-3,5;-4,9
;DKM8; Other recreational goods;2,1;1,1;2,8;3,6;4,1;3,3;3,6;3,5;3,1;4,2;2,7;1,9;3,6;4,2
;DKM9; Miscellaneous goods;0,8;1,4;0,3;0,5;-0,1;0,4;-0,2;0,2;-1,4;-1,0;-0,7;-0,8;-1,1;-0,5
;;;;;;;;;;;;;;;;
;D7NN; All services;2,7;2,7;2,7;2,7;2,8;2,5;2,8;2,4;2,5;2,1;2,3;2,3;2,3;2,5
;DKN2; Housing services;1,2;1,1;1,0;1,0;1,0;1,0;0,8;0,8;0,8;0,9;0,9;0,8;0,9;0,9
;D7GQ; Actual rentals for housing;1,0;0,9;0,8;0,7;0,6;0,6;0,3;0,3;0,3;0,4;0,4;0,4;0,5;0,5
;DKN3; Primary housing services;1,8;2,4;2,0;2,1;2,3;2,6;3,1;3,1;3,3;3,8;3,3;2,9;2,6;2,5
;DKN4; Other housing services;2,4;2,2;2,0;2,6;2,6;2,8;2,8;2,7;2,6;2,6;2,6;2,8;2,7;2,5
;;;;;;;;;;;;;;;;
;DKN5; Travel & transport services;5,1;3,7;5,2;5,5;6,4;4,3;5,0;4,5;4,3;1,7;3,9;3,4;4,0;5,0
;DKN6; Services for personal transport equipment;3,3;4,1;4,2;4,1;3,9;3,9;4,6;4,9;5,0;4,0;4,3;4,2;4,5;4,8
;D7H4; Transport services;5,8;2,9;4,9;5,6;7,4;4,3;5,2;3,9;3,8;-0,5;4,1;3,5;4,7;6,4
;D7JF; Transport insurance;10,9;12,6;12,5;11,3;11,5;7,6;8,7;5,7;2,1;-0,4;-2,5;-4,8;-7,4;-7,5
;;;;;;;;;;;;;;;;
;D7GF; Communication;1,8;2,2;2,0;1,7;1,9;1,0;1,2;-0,3;-0,4;1,0;0,7;0,7;1,6;0,3
;;;;;;;;;;;;;;;;
;DKN7; Recreational & personal services;2,7;2,9;2,8;2,9;3,1;3,0;3,3;3,0;3,2;3,2;3,0;3,2;3,1;3,4
