Back to Contents;;;;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;;;;
Table 44; RPI weights: 2002 to 2018 2;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
; Parts per 1000;;;;;;;;;;;;;;;;;;
;CZWP; of which  fresh fruit;6;6;6;6;6;6;7;7;6;7;6;7;6;6;7;7;7
;CZWQ; processed fruit;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2
;CZWR; Other foods;12;15;15;12;11;10;10;11;11;11;11;11;11;11;10;11;11
;;;;;;;;;;;;;;;;;;;
;CZHC; Catering;52;51;49;49;50;47;47;50;47;47;47;47;47;47;47;48;50
;CZWS; Restaurant meals;26;26;26;25;27;25;26;27;26;26;27;27;28;28;28;29;30
;CZWT; Canteen meals;5;5;4;5;4;4;4;4;4;4;3;4;3;3;3;3;3
;CZWU; Take-aways and snacks;21;20;19;19;19;18;17;19;17;17;17;16;16;16;16;16;17
;;;;;;;;;;;;;;;;;;;
;CZHD; Alcoholic drink;68;68;68;67;67;66;59;63;64;60;56;61;58;56;57;57;56
;CZWV; Beer;36;36;35;37;36;34;31;32;31;29;26;26;25;24;24;24;23
;CZWW; on sales;30;30;30;31;31;29;26;26;26;23;21;21;20;19;19;19;18
;CZWX; off sales;6;6;5;6;5;5;5;6;5;6;5;5;5;5;5;5;5
;CZWY; Wines and spirits;32;32;33;30;31;32;28;31;33;31;30;35;33;32;33;33;33
;CZWZ; on sales;19;19;19;16;17;18;15;17;18;17;16;20;18;18;19;19;19
;CZXA; off sales;13;13;14;14;14;14;13;14;15;14;14;15;15;14;14;14;14
;;;;;;;;;;;;;;;;;;;
;CZHE; Tobacco;31;30;29;29;29;29;27;27;27;28;29;30;29;27;25;24;23
;CZXB; Cigarettes;28;26;26;26;26;26;24;24;24;24;25;26;25;23;21;20;19
;CZXC; Other tobacco;3;4;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4
;;;;;;;;;;;;;;;;;;;
;CZHF; Housing;199;203;209;224;222;238;254;236;237;238;237;254;253;263;266;266;257
;CZXD; Rent;47;45;43;42;45;53;59;62;69;73;75;86;87;84;83;84;76
;CZXE; Mortgage interest payments;36;39;39;50;50;55;60;41;34;32;29;29;30;29;28;25;24
;DOGX; Depreciation (Jan 1995 = 100);40;42;47;49;44;50;55;50;55;54;56;58;58;73;80;84;83
;CZXF; Council tax and rates;34;36;38;39;39;40;39;40;39;40;41;43;42;40;40;39;38
;CZXG; Water and other charges;11;11;11;11;12;12;12;14;13;13;13;14;14;14;13;13;12
;CZXH; Repairs and maintenance charges;10;10;11;12;12;12;12;12;12;10;9;10;10;9;9;9;9
;CZXI; Do-it-yourself materials;14;13;13;14;13;9;9;9;8;9;8;7;6;8;7;6;8
;CZXJ; Dwelling insurance and ground rent;7;7;7;7;7;7;8;8;7;7;6;7;6;6;6;6;7
;;;;;;;;;;;;;;;;;;;
;CZHG; Fuel and light;31;29;28;31;33;39;33;49;40;42;46;43;48;45;41;38;37
;CZXK; Coal and solid fuels;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZXL; Electricity;15;14;13;15;15;18;16;23;18;20;21;20;22;21;20;19;20
;CZXM; Gas;13;12;12;13;14;18;13;23;17;18;21;19;21;21;18;16;15
;CZXN; Oil and other fuels;2;2;2;2;3;2;3;2;4;3;3;3;4;2;2;2;1
;;;;;;;;;;;;;;;;;;;
;CZHH; Household goods;73;72;71;71;71;66;66;70;67;65;62;60;61;59;62;65;68
;CZXO; Furniture;22;23;24;24;26;23;23;26;26;24;22;21;21;22;25;26;28
;CZXP; Furnishings;13;13;13;14;11;11;12;12;10;10;9;9;9;9;8;10;9
;CZXQ; Electrical appliances;10;8;7;8;8;8;7;7;7;6;6;6;6;5;7;6;7
;CZXR; Other household equipment;7;7;6;5;5;4;4;4;4;5;4;4;4;4;4;4;4
;CZXS; Household consumables;14;14;14;14;14;13;13;13;13;13;13;12;12;12;11;11;11
;CZXT; Pet care;7;7;7;6;7;7;7;8;7;7;8;8;9;7;7;8;9
;;;;;;;;;;;;;;;;;;;
;CZHI; Household services;60;61;59;61;66;65;64;61;59;63;67;62;62;65;67;64;58
;CZXU; Postage;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZXV; Telephones, telemessages, etc;21;22;22;23;24;22;21;23;23;23;24;24;24;25;25;26;25
;CZXW; Domestic services;10;10;10;11;12;14;13;12;13;14;13;13;13;13;14;15;13
;CZXX; Fees and subscriptions;28;28;26;26;29;28;29;25;22;25;29;24;24;26;27;22;19
;;;;;;;;;;;;;;;;;;;
;CZHJ; Clothing and footwear;51;51;51;48;49;44;42;39;40;44;45;43;45;42;41;41;43
;CZXY; Men's outerwear;11;11;10;9;10;9;8;9;8;9;9;9;10;8;9;8;9
;CZXZ; Women's outerwear;17;17;18;17;17;15;15;13;14;17;16;16;16;16;15;15;16
;CZYA; Childrens' outerwear;6;6;6;6;6;5;5;4;5;5;5;5;5;5;4;5;5
;CZYB; Other clothing;7;7;7;6;7;6;6;5;5;5;6;5;5;5;5;5;5
;CZYC; Footwear;10;10;10;10;9;9;8;8;8;8;9;8;9;8;8;8;8
;;;;;;;;;;;;;;;;;;;
;CZHK; Personal goods and services;43;41;42;41;41;39;41;41;41;38;39;40;40;41;42;38;42
;CZYD; Personal articles;13;12;12;12;12;11;11;12;11;9;10;10;10;10;12;9;11
;CZYE; Chemists goods;16;16;15;16;16;15;15;15;16;16;15;15;16;17;15;15;15
;CZYF; Personal services;14;13;15;13;13;13;15;14;14;13;14;15;14;14;15;14;16
;;;;;;;;;;;;;;;;;;;
;CZHL; Motoring expenditure;141;146;146;136;140;133;133;121;144;137;131;122;120;115;117;123;124
;CZYG; Purchase of motor vehicles;62;62;63;59;56;53;49;42;50;45;39;34;36;42;45;46;50
;CZYH; Maintenance of motor vehicles;21;22;20;19;20;20;19;20;19;20;20;19;17;16;16;16;16
;CZYI; Petrol and oil;36;38;36;35;40;36;43;36;49;46;47;45;43;35;33;37;34
;CZYJ; Vehicle tax and insurance;22;24;27;23;24;24;22;23;26;26;25;24;24;22;23;24;24
;;;;;;;;;;;;;;;;;;;
;CZHM; Fares and other travel costs;20;20;21;19;19;20;20;20;20;20;23;18;22;25;26;26;25
;CZYK; Rail fares;5;5;5;5;5;5;5;4;6;6;6;6;7;7;7;6;6
;CZYL; Bus and coach fares;5;5;4;4;4;4;4;3;4;4;4;4;4;3;3;3;3
;CZYM; Other travel costs;10;10;12;10;10;11;11;13;10;10;13;8;11;15;16;17;16
;;;;;;;;;;;;;;;;;;;
;CZHN; Leisure goods;48;48;46;46;41;41;38;38;37;36;33;30;30;28;29;29;30
;CZYN; Audio-visual equipment;12;10;10;10;9;8;8;8;8;9;7;6;7;7;7;6;6
;CZYO; CDs and tapes;7;10;5;6;4;5;4;4;3;3;3;3;2;2;2;2;2
;CZYP; Toys, photographic and sports goods;11;11;12;13;12;12;10;11;12;10;10;9;9;8;9;9;10
;CZYQ; Books and newspapers;12;10;11;10;10;10;10;9;8;8;8;7;7;6;6;6;6
;CZYR; Gardening products;6;7;8;7;6;6;6;6;6;6;5;5;5;5;5;6;6
;;;;;;;;;;;;;;;;;;;
;CZHO; Leisure services;69;71;70;68;67;68;65;67;65;64;71;74;71;78;78;79;85
;CZYS; Television licences and rentals;13;8;11;12;12;11;11;11;12;12;12;13;12;12;12;12;11
;CZYT; Entertainment and other recreation;18;22;20;17;17;16;16;13;15;14;17;15;15;15;16;16;16
;CBXQ; Foreign holidays (Jan 1993 = 100);32;34;31;32;30;34;31;36;31;29;33;35;34;41;40;40;47
;DOEE; UK holidays (Jan 1994 = 100);6;7;8;7;8;7;7;7;7;9;9;11;10;10;10;11;11
;;;;;;;;;;;;;;;;;;;
;; Key:     - zero or negligible      ..   not available;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1; Consumer durables: Furniture, furnishings, electrical appliances and;;;;;;;;;;;;;;;;;
;; other household equipment, men's, women's and children's outerwear,;;;;;;;;;;;;;;;;;
;; footwear, audio-visual equipment, CDs and tapes, toys, photographic and;;;;;;;;;;;;;;;;;
;; sports goods.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;;;;;;;
;;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;;;;;;;
;;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;Source: ;;;;;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;;;;;
