Back to Contents;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
Table 39;;; RPI Detailed figures by division for 14 August 2018 4;;;;;;;;;;;
;;;; ; Percentage;;;;;;;;;
;;;;; change over;;;;;;;;;
;;;; Index;1;12;;;;;;;;
Indices;1-month rate;12-month rate;;(Jan 13, 1987=100); month; months;;;;;;;;
CHBD;CZFE;CZCF; Alcoholic drink;299,0;0,6;2,0;;;;;;;;
DOBH;SGIM;CZCG; Beer;322,7;0,2;2,2;;;;;;;;
DOBI;SGIN;CZCH; on sales;363,2; -;2,3;;;;;;;;
DOBJ;SGIP;CZCI; off sales;171,3;1,2;2,0;;;;;;;;
DOBK;SGIQ;CZCJ; Wines and spirits;266,5;0,8;1,8;;;;;;;;
DOBL;SGON;CZCK; on sales;361,4;0,1;3,3;;;;;;;;
DOBM;SGOW;CZCL; off sales;199,6;1,7;-0,2;;;;;;;;
;;;;;;;;;;;;;;
CHBE;CZFF;CZCM; Tobacco;743,5;-0,3;7,2;;;;;;;;
DOBN;SGPA;CZCN; Cigarettes;767,2;-0,1;7,3;;;;;;;;
DOBO;SGPC;CZCO; Tobacco;552,4;-0,8;6,8;;;;;;;;
;;;;;;;;;;;;;;
CHBF;CZFG;CZCP; Housing;383,2;0,7;2,9;;;;;;;;
DOBP;SGPE;CZCQ; Rent;369,2;0,1;0,8;;;;;;;;
DOBQ;SGPN;CZCR; Mortgage interest payments;236,6;2,8;6,0;;;;;;;;
CHOO;SGPQ;DOGV; Depreciation (Jan 1995 = 100);394,0;1,1;2,7;;;;;;;;
DOBR;SGPR;CZCS; Council tax and Rates;366,9; -;4,9;;;;;;;;
DOBS;SGPT;CZCT; Water and other charges;524,1; -;2,6;;;;;;;;
DOBT;SGPU;CZCU; Repairs and maintenance charges;377,3; -;0,9;;;;;;;;
DOBU;SGQF;CZCV; Do-it-yourself materials;235,6;0,1;4,4;;;;;;;;
DOBV;SGQG;CZCW; Dwelling insurance and ground rent;431,2;1,5;10,0;;;;;;;;
;;;;;;;;;;;;;;
CHBG;CZFH;CZCX; Fuel and light;363,3; -;6,8;;;;;;;;
DOBW;SGQH;CZCY; Coal and solid fuels;329,2;0,2;1,6;;;;;;;;
DOBX;SGQL;CZCZ; Electricity;352,7; -;7,4;;;;;;;;
DOBY;SGQN;CZDA; Gas;367,8; -;4,2;;;;;;;;
DOBZ;SGQP;CZDB; Oil and other fuels;455,6;1,0;26,9;;;;;;;;
;;;;;;;;;;;;;;
CHBH;CZFI;CZDC; Household goods;215,2;2,1;1,4;;;;;;;;
DOCA;SGQZ;CZDD; Furniture;275,4;5,6;1,4;;;;;;;;
DOCB;SGRC;CZDE; Furnishings;244,1;0,7;2,2;;;;;;;;
DOCC;SGRD;CZDF; Electrical appliances;80,9;0,9;5,2;;;;;;;;
DOCD;SGRF;CZDG; Other household equipment;208,1;0,1;1,3;;;;;;;;
DOCE;SGRG;CZDH; Household consumables;209,4;-1,7;-1,1;;;;;;;;
DOCF;SGRJ;CZDI; Pet care;242,8;-0,8;0,8;;;;;;;;
;;;;;;;;;;;;;;
CHBI;CZFJ;CZDJ; Household services;286,6;0,5;1,8;;;;;;;;
DOCG;SGRS;CZDK; Postage;421,6; -;2,8;;;;;;;;
DOCH;SGRW;CZDL; Telephones, telemessages, etc;109,0;0,6;0,6;;;;;;;;
DOCI;SGRY;CZDM; Domestic services;416,4;0,3;3,0;;;;;;;;
DOCJ;SGSA;CZDN; Fees and subscriptions;485,7;0,4;2,4;;;;;;;;
;;;;;;;;;;;;;;
CHBJ;CZFK;CZDO; Clothing and footwear;170,5;3,3;6,3;;;;;;;;
DOCK;SGSK;CZDP; Men's outerwear;181,4;1,7;7,0;;;;;;;;
DOCL;SGSN;CZDQ; Women's outerwear;136,7;5,0;7,4;;;;;;;;
DOCM;SGSO;CZDR; Children's outerwear;171,7;4,4;6,8;;;;;;;;
DOCN;SGSQ;CZDS; Other clothing;230,0;1,6;4,7;;;;;;;;
DOCO;SGSR;CZDT; Footwear;154,7;2,1;4,0;;;;;;;;
;;;;;;;;;;;;;;
CHBQ;CZFL;CZDU; Personal goods and services;282,5;0,8;1,7;;;;;;;;
DOCP;SGTC;CZDV; Personal articles;202,9;2,3;1,9;;;;;;;;
DOCQ;SGTD;CZDW; Chemists goods;218,8;0,3; -;;;;;;;;
DOCR;SGTE;CZDX; Personal services;529,0;0,2;3,2;;;;;;;;
;;;;;;;;;;;;;;
CHBK;CZFM;CZDY; Motoring expenditure;258,4;0,4;5,1;;;;;;;;
DOCS;SGTI;CZDZ; Purchase of motor vehicles;94,6;-0,1;3,7;;;;;;;;
DOCT;SGTL;CZEA; Maintenance of motor vehicles;443,9;0,3;3,4;;;;;;;;
DOCU;SGTN;CZEB; Petrol and oil;376,7;1,0;11,7;;;;;;;;
DOCV;SGTW;CZEC; Vehicle tax and insurance;807,0;0,7;0,2;;;;;;;;
;;;;;;;;;;;;;;
CHBR;CZFN;CZED; Fares and other travel costs;470,6;6,7;4,9;;;;;;;;
DOCW;SGTZ;CZEE; Rail fares;411,7;-1,2;4,0;;;;;;;;
DOCX;SGUA;CZEF; Bus and coach fares;502,5;1,0;7,0;;;;;;;;
DOCY;SGUC;CZEG; Other travel costs;441,7;10,0;5,7;;;;;;;;
;;;;;;;;;;;;;;
CHBL;CZFO;CZEH; Leisure goods;91,8;-0,5;2,2;;;;;;;;
DOCZ;SGUD;CZEI; Audio-visual equipment;6,9;1,5;-5,5;;;;;;;;
DODA;SGUG;CZEJ; CDs and tapes;118,2;-2,2;2,1;;;;;;;;
DODB;SGUQ;CZEK; Toys, photographic and sports goods;91,4;-0,3;3,7;;;;;;;;
DODC;SGUV;CZEL; Books and newspapers;433,5;-1,3;8,1;;;;;;;;
DODD;SGUX;CZEM; Gardening products;183,4;-1,2;2,9;;;;;;;;
;;;;;;;;;;;;;;
CHBM;CZFP;CZEN; Leisure services;414,8;1,2;5,3;;;;;;;;
DODE;SGUZ;CZEO; Television licences and rentals;213,8; -;2,9;;;;;;;;
DODF;SGVI;CZEP; Entertainment and other recreation;596,9;2,2;5,0;;;;;;;;
CHMQ;SGVL;CDKN; Foreign holidays (Jan 1993 = 100);265,2;1,2;6,5;;;;;;;;
CHMS;SGVM;DOEC; UK holidays (Jan 1994=100);257,1;0,9;3,3;;;;;;;;
;;;;;;;;;;;;;;
;;; Key:     -  zero or negligible     ..  not available;;;;;;;;;;;
;;; ;;;;;;;;;;;
;;1; Consumer durables: Furniture, furnishings, electrical appliances and;;;;;;;;;;;
;;; other household equipment, men's, women's and children's outerwear,;;;;;;;;;;;
;;; footwear, audio-visual equipment, CDs and tapes, toys, photographic and;;;;;;;;;;;
;;; sports goods.;;;;;;;;;;;
;;; ;;;;;;;;;;;
;;2; The taxes excluded are council tax, VAT, duties, car purchase tax and;;;;;;;;;;;
;;; vehicle excise duty, television licence fees, insurance premium tax and airport tax.;;;;;;;;;;;
;;; ;;;;;;;;;;;
;;3; This series has been constructed using the index for all items excluding;;;;;;;;;;;
;;; mortgage interest payments prior to February 1995.;;;;;;;;;;;
;;; ;;;;;;;;;;;
;;; Note:  Users should not read too much into monthly changes as;;;;;;;;;;;
;;; these are not good indicators of trend and may be heavily influenced by;;;;;;;;;;;
;;; seasonal or irregular factors.;;;;;;;;;;;
;;;;;;;;;;;;;;
;;4;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;
;;;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;
;;;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;
;;; ;;;;;;;;;;;
;;;Source: ;;;;;;;;;;;
;;;Office for National Statistics;;;;;;;;;;;
;;;Prices Division;;;;;;;;;;;
;;;2.001 Cardiff Road;;;;;;;;;;;
;;;Newport;;;;;;;;;;;
;;;South Wales;;;;;;;;;;;
;;;NP10 8XG;;;;;;;;;;;
;;;Tel: + 44 (0) 1633 456900;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;http://www.ons.gov.uk;;;;;;;;;;;
