Back to Contents;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Table 4; CPI: Detailed figures by divisions, groups and classes1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;; Percentage change;;;Percentage change over 12 months;;;;;;;;
;;;;;;; Weights;; Index (2015=100);;; over 1 month;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2018;;2017;2018;;2017;2018;;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;;;;Feb-Dec;;Aug;Aug;;Aug;Aug;;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
Weights;Indices;1-month rate;12-month rate;;;;;;;;;;;;;;;;;;;;
CJYK;D7CZ;D7KN;D7HD;;12.6.2 Other financial services (nec);;11;;98,6;92,4;; -;-0,1;;-2,3;-2,9;-2,8;-3,0;-2,8;-2,6;-2,6;-6,3;-6,3
;;;;;;;;;;;;;;;;;;;;;;;
ICVY;D7FR;D7NJ;D7OB;;12.7 Other services (nec);;12;;99,7;97,0;;-0,2; -;;-3,2;-1,7;-1,9;-1,9;-2,0;-2,1;-2,2;-2,9;-2,7
;;;;;;;;;;;;;;;;;;;;;;;
;Key:    - zero or negligible .. not available (nec) not elsewhere covered;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;From the release of January consumer price inflation data on 16 February 2016, CPIH and CPI indices have been re-referenced and published with 2015=100.;;;;;;;;;;;;;;;;;;;;;;
;Full historic series for each of the re-referenced indices are available for users to view or download.;;;;;;;;;;;;;;;;;;;;;;
;Regular re-referencing of indices is methodological good practice as it avoids rounding issues that can arise from small index values. ;;;;;;;;;;;;;;;;;;;;;;
;Please note that re-referencing does not impact on published inflation rates, although when using the indices to calculate inflation rates, ;;;;;;;;;;;;;;;;;;;;;;
;it is important to use indices that are referenced on the same year. Re-referencing does not impact on RPI.;;;;;;;;;;;;;;;;;;;;;;
;For more information, please contact cpi@ons.gsi.gov.uk.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Source:;;;;;;;;;;;;;;;;;;;;;;
;Office for National Statistics;;;;;;;;;;;;;;;;;;;;;;
;Prices Division;;;;;;;;;;;;;;;;;;;;;;
;2.001 Cardiff Road;;;;;;;;;;;;;;;;;;;;;;
;Newport;;;;;;;;;;;;;;;;;;;;;;
;South Wales;;;;;;;;;;;;;;;;;;;;;;
;NP10 8XG;;;;;;;;;;;;;;;;;;;;;;
;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
